time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-31 00:00:00+00:00,1111,333,1010,394
2025-11-01 00:00:00+00:00,594,222,847,344
2025-11-02 00:00:00+00:00,471,254,641,301
2025-11-03 00:00:00+00:00,1372,414,1221,517
2025-11-04 00:00:00+00:00,1623,377,1267,537
2025-11-05 00:00:00+00:00,1287,388,1195,445
2025-11-06 00:00:00+00:00,1009,405,1179,541
2025-11-07 00:00:00+00:00,977,371,915,468
2025-11-08 00:00:00+00:00,637,275,877,371
2025-11-09 00:00:00+00:00,491,250,734,352
2025-11-10 00:00:00+00:00,1205,415,1357,535
2025-11-11 00:00:00+00:00,1083,437,1432,554
2025-11-12 00:00:00+00:00,883,406,1447,655
2025-11-13 00:00:00+00:00,764,368,1121,490
